Bank,Year,Month,Media Category,dollars
Bank of America,2023,October 2023,Television,19072898
Bank of America,2023,September 2023,Audio,9001826
Bank of America,2023,September 2023,Digital,5887377
Bank of America,2023,September 2023,Outdoor,351386
Bank of America,2023,September 2023,Print,16238374
Bank of America,2023,September 2023,Television,8463375
Bank of America,2025,March 2025,Audio,0
Bank of America,2025,March 2025,Digital,13276366
Bank of America,2025,March 2025,Outdoor,8310
Bank of America,2025,March 2025,Television,1546703
Capital One Bank,2023,April 2023,Audio,2278564
Capital One Bank,2023,April 2023,Digital,17471477
Capital One Bank,2023,April 2023,Outdoor,1442039
Capital One Bank,2023,April 2023,Print,508028
Capital One Bank,2023,April 2023,Television,25068698
Capital One Bank,2023,August 2023,Audio,1731837
Capital One Bank,2023,August 2023,Digital,16104443
Capital One Bank,2023,August 2023,Outdoor,1425448
Capital One Bank,2023,August 2023,Print,621384
Capital One Bank,2023,August 2023,Television,6698867
Capital One Bank,2023,December 2023,Audio,1953165
Capital One Bank,2023,December 2023,Cinema,400850
Capital One Bank,2023,December 2023,Digital,23300020
Capital One Bank,2023,December 2023,Outdoor,503609
Capital One Bank,2023,December 2023,Print,1043511
Capital One Bank,2023,December 2023,Streaming,972948
Capital One Bank,2023,December 2023,Television,60331894
Capital One Bank,2023,February 2023,Audio,1963569
Capital One Bank,2023,February 2023,Digital,13126051
Capital One Bank,2023,February 2023,Television,11091334
Capital One Bank,2023,July 2023,Audio,2594904
Capital One Bank,2023,July 2023,Digital,18665338
Capital One Bank,2023,July 2023,Outdoor,1270201
Capital One Bank,2023,July 2023,Print,1397696
Capital One Bank,2023,July 2023,Television,11271270
Capital One Bank,2023,June 2023,Audio,1738704
Capital One Bank,2023,June 2023,Digital,14480567
Capital One Bank,2023,June 2023,Outdoor,801950
Capital One Bank,2023,June 2023,Print,734980
Capital One Bank,2023,June 2023,Television,11162788
Capital One Bank,2023,March 2023,Audio,1888552
Capital One Bank,2023,March 2023,Digital,9884513
Capital One Bank,2023,March 2023,Outdoor,1391524
Capital One Bank,2023,March 2023,Print,822023
Capital One Bank,2023,March 2023,Television,75014585
Capital One Bank,2023,May 2023,Audio,2312668
Capital One Bank,2023,May 2023,Digital,13348955
Capital One Bank,2023,May 2023,Outdoor,1449372
Capital One Bank,2023,May 2023,Print,1985119
Capital One Bank,2023,May 2023,Television,15480593
Capital One Bank,2023,November 2023,Audio,1698000
Capital One Bank,2023,November 2023,Cinema,880786
Capital One Bank,2023,November 2023,Digital,17684506
Capital One Bank,2023,November 2023,Outdoor,521746
Capital One Bank,2023,November 2023,Print,847287
Capital One Bank,2023,November 2023,Streaming,629650
Capital One Bank,2023,November 2023,Television,42669996
Capital One Bank,2023,October 2023,Audio,2493743
Capital One Bank,2023,October 2023,Cinema,513353
Capital One Bank,2023,October 2023,Digital,20600294
Capital One Bank,2023,October 2023,Outdoor,1887132
Capital One Bank,2023,October 2023,Print,1567068
Capital One Bank,2023,October 2023,Streaming,214507
Capital One Bank,2023,October 2023,Television,45367145
Capital One Bank,2023,September 2023,Audio,1874949
Capital One Bank,2023,September 2023,Digital,14891869
Capital One Bank,2023,September 2023,Outdoor,1810754
Capital One Bank,2023,September 2023,Print,1604314
Capital One Bank,2023,September 2023,Television,23847152
Capital One Bank,2025,March 2025,Audio,0
Capital One Bank,2025,March 2025,Digital,34873622
Capital One Bank,2025,March 2025,Outdoor,154883
Capital One Bank,2025,March 2025,Television,51219478
Chase Bank,2023,April 2023,Audio,615079
Chase Bank,2023,April 2023,Digital,13731471
Chase Bank,2023,April 2023,Outdoor,761394
Chase Bank,2023,April 2023,Television,3591611
Chase Bank,2023,August 2023,Audio,1891131
Chase Bank,2023,August 2023,Cinema,99516
Chase Bank,2023,August 2023,Digital,10806213
Chase Bank,2023,August 2023,Outdoor,545525
Chase Bank,2023,August 2023,Television,5869593
Chase Bank,2023,December 2023,Audio,2105482
Chase Bank,2023,December 2023,Cinema,4320
Chase Bank,2023,December 2023,Digital,16509490
Chase Bank,2023,December 2023,Outdoor,654508
Chase Bank,2023,December 2023,Television,7743027
Chase Bank,2023,February 2023,Audio,1860100
Chase Bank,2023,February 2023,Digital,8905100
Chase Bank,2023,February 2023,Print,2085
Chase Bank,2023,February 2023,Television,9939130
Chase Bank,2023,July 2023,Audio,1625407
Chase Bank,2023,July 2023,Cinema,356601
Chase Bank,2023,July 2023,Digital,11798229
Chase Bank,2023,July 2023,Outdoor,545807
Chase Bank,2023,July 2023,Print,13670
Chase Bank,2023,July 2023,Television,4239894
Chase Bank,2023,June 2023,Audio,1444656
Chase Bank,2023,June 2023,Digital,16030212
Chase Bank,2023,June 2023,Outdoor,519061
Chase Bank,2023,June 2023,Television,6935557
Chase Bank,2023,March 2023,Audio,1448400
Chase Bank,2023,March 2023,Digital,7288244
Chase Bank,2023,March 2023,Outdoor,1076113
Chase Bank,2023,March 2023,Television,6731323
Chase Bank,2023,May 2023,Audio,1637900
Chase Bank,2023,May 2023,Digital,13916418
Chase Bank,2023,May 2023,Outdoor,705477
Chase Bank,2023,May 2023,Television,7147009
Chase Bank,2023,November 2023,Audio,3590850
Chase Bank,2023,November 2023,Digital,14465234
Chase Bank,2023,November 2023,Outdoor,634830
Chase Bank,2023,November 2023,Television,7075714
Chase Bank,2023,October 2023,Audio,3295117
Chase Bank,2023,October 2023,Digital,25825735
Chase Bank,2023,October 2023,Outdoor,654938
Chase Bank,2023,October 2023,Print,13670
Chase Bank,2023,October 2023,Television,10688323
Chase Bank,2023,September 2023,Audio,2565560
Chase Bank,2023,September 2023,Digital,34574865
Chase Bank,2023,September 2023,Outdoor,611450
Chase Bank,2023,September 2023,Print,342
Chase Bank,2023,September 2023,Television,7905084
Chase Bank,2025,March 2025,Audio,0
Chase Bank,2025,March 2025,Digital,9167313
Chase Bank,2025,March 2025,Television,14420322
PNC Bank,2023,April 2023,Audio,70266
PNC Bank,2023,April 2023,Digital,744858
PNC Bank,2023,April 2023,Outdoor,148813
PNC Bank,2023,April 2023,Print,68243
PNC Bank,2023,April 2023,Television,3794790
PNC Bank,2023,August 2023,Audio,443717
PNC Bank,2023,August 2023,Digital,1209682
PNC Bank,2023,August 2023,Outdoor,1124682
PNC Bank,2023,August 2023,Print,17875
PNC Bank,2023,August 2023,Television,6463981
PNC Bank,2023,December 2023,Audio,123180
PNC Bank,2023,December 2023,Digital,670893
